T3;S0;20190326151446;100003363
T3;C0;20190326151452;32000142;195;L030
T3;P1;20190326151510;50000106;1001;DE06191071
T3;P1;20190326151514;50000106;1058;DE06191071
T3;C0;20190326151606;32000142;292;L030
T3;P1;20190326151635;50000106;109;DE06191071
T3;P1;20190326151636;50000106;750;DE06191071
T3;P1;20190326151640;50000106;1070;DE06191071
T3;P1;20190326151643;50000106;663;DE06191071
T3;P1;20190326151646;50000106;1326;DE06191071
T3;P1;20190326151647;50000106;76;DE06191071
T3;P1;20190326151649;50000106;1464;DE06191071
T3;P1;20190326151650;50000106;1734;DE06191072
T3;C0;20190326151652;32000142;103;L030
T3;P1;20190326151652;50000106;1388;DE06191072
T3;P2;20190326151654;41000651;11;L030
T3;P1;20190326151655;50000106;1706;DE06191072
T3;P1;20190326151658;50000106;163;DE06191072
T3;P1;20190326151659;50000106;1284;DE06191072
T3;P1;20190326151701;50000106;1402;DE06191072
T3;P1;20190326151702;50000106;1576;DE06191072
T3;P1;20190326151703;50000106;1217;DE06191072
T3;P1;20190326151705;50000106;96;DE06191072
T3;P1;20190326151706;50000106;647;DE06191072
T3;P1;20190326151707;50000106;893;DE06191073
T3;C0;20190326151707;32000142;86;L030
T3;P1;20190326151708;50000106;705;DE06191073
T3;P2;20190326151711;41000651;17;L030
