T3;S0;20190326151446;100003363
T3;C0;20190326151452;32000142;195;L030
T3;P1;20190326151510;50000106;1001;DE06191071
T3;P1;20190326151514;50000106;1058;DE06191071
T3;C0;20190326151606;32000142;292;L030
T3;P1;20190326151635;50000106;109;DE06191071
T3;P1;20190326151636;50000106;750;DE06191071
T3;P1;20190326151640;50000106;1070;DE06191071
T3;P1;20190326151643;50000106;663;DE06191071
T3;P1;20190326151646;50000106;1326;DE06191071
T3;P1;20190326151647;50000106;76;DE06191071
T3;P1;20190326151649;50000106;1464;DE06191071
T3;P1;20190326151650;50000106;1734;DE06191072
T3;C0;20190326151652;32000142;103;L030
T3;P1;20190326151652;50000106;1388;DE06191072
T3;P2;20190326151654;41000651;11;L030
T3;P1;20190326151655;50000106;1706;DE06191072
T3;P1;20190326151658;50000106;163;DE06191072
T3;P1;20190326151659;50000106;1284;DE06191072
T3;P1;20190326151701;50000106;1402;DE06191072
T3;P1;20190326151702;50000106;1576;DE06191072
T3;P1;20190326151703;50000106;1217;DE06191072
T3;P1;20190326151705;50000106;96;DE06191072
T3;P1;20190326151706;50000106;647;DE06191072
T3;P1;20190326151707;50000106;893;DE06191073
T3;C0;20190326151707;32000142;86;L030
T3;P1;20190326151708;50000106;705;DE06191073
T3;P2;20190326151711;41000651;17;L030
T3;P1;20190326151711;50000106;562;DE06191073
T3;P1;20190326151712;50000106;277;DE06191073
T3;P1;20190326151713;50000106;520;DE06191073
T3;P1;20190326151714;50000106;512;DE06191073
T3;P1;20190326151715;50000106;413;DE06191073
T3;P1;20190326151717;50000106;67;DE06191073
T3;C0;20190326151718;32000142;119;L030
T3;P1;20190326151720;50000106;423;DE06191081
T3;P2;20190326151722;41000651;6;L030
T3;P1;20190326151723;50000106;597;DE06191081
T3;P1;20190326151726;50000106;64;DE06191081
T3;P1;20190326151729;50000106;83;DE06191081
T3;P1;20190326151730;50000106;393;DE06191081
T3;P1;20190326151731;50000106;272;DE06191081
T3;P1;20190326151732;50000106;561;DE06191081
T3;P1;20190326151733;50000106;382;DE06191081
T3;P1;20190326151734;50000106;533;DE06191081
T3;C0;20190326151734;32000142;120;L030
T3;P1;20190326151736;50000106;571;DE06191082
T3;P1;20190326151738;50000106;567;DE06191082
T3;P2;20190326151739;41000651;5;L030
T3;P1;20190326151741;50000106;775;DE06191082
T3;P1;20190326151743;50000106;65;DE06191082
T3;P1;20190326151744;50000106;634;DE06191082
